,Industrial Production Index: Manufacturing,Consumer Price Index: All Items,Industrial Production Index (IPI),Gross Domestic Product at Market Prices,Gross Domestic Product (GDP): SNA 1993
Region,India,Vietnam,India,India,Indonesia
Subnational,,,,,
Frequency,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,2004-2005=100,2009=100,2004-2005=100,INR mn,IDR bn
Source,Central Statistics Office,General Statistics Office,Central Statistics Office,Central Statistics Office,Central Bureau of Statistics
Status,Rebased,Rebased,Rebased,Rebased,Rebased
Series ID,314398601 (IBBABDC),228443702 (VITBDEFA),314398401 (IBBADA),230792502 (IAPAFAB),13116501 (DALA)
SR Code,SR5007666,SR4068322,SR5007638,SR4175737,SR231583
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,04/2005,11/2009,04/2005,06/2004,03/1993
Last Obs. Date,02/2017,12/2015,02/2017,09/2014,12/2014
Last Update Time,13/05/2017,25/01/2016,13/05/2017,16/04/2015,09/02/2015
Series remarks,1. Rebased from 2004-2005=100 to 2011-2012=100
2. Replacement series ID: 386587777,1. Rebased from 2009p to 2014p.
2. Replacement Series ID: 373678797.,1. Rebased from 2004-2005=100 to 2011-2012=100
2. Replacement series ID: 386587797,,1. Changed from SNA 1993 to SNA 2008
2. Replacement series ID: 365749327


1. Perubahan dari SNA 1993 ke SNA 2008.
2. Series pengganti ID:365749327.
Suggestions,386587777,373678797,386587797,,365749327
Mean,165.47762237762237,140.95633487283783,157.28531468531475,17228009.024613637,857365.2010565178
Variance,711.3775238845661,344.9372671054455,587.9714025411208,52362029413731.31,579969322113.111
Standard Deviation,26.671661438398736,18.57248683147859,24.248121629130797,7236161.234641701,761557.1693005791
Skewness,-0.8088444362963723,-0.769560313125664,-0.700987718459115,0.40351854151265476,0.865618821951292
Kurtosis,-0.11171238243879866,-0.8038728828185993,-0.31788896183404747,-1.126395619082682,-0.5426980686756888
Coefficient Variation,0.161179868644315,0.1317605686061116,0.15416646924504498,0.42002306965961095,0.8882529502738437
Min,98.2,102.73,99.1,7353633.95167001,77581.59
Max,210.3,159.6456464,198.7,31468333.0317425,2622612.6
Median,173,146.64,164.3,14814645.8368938,526354.5
No. of Obs,143,74,143,42,88
03/1993,,,,,77581.59
06/1993,,,,,80430.65
09/1993,,,,,85523.75
12/1993,,,,,86239.84
03/1994,,,,,87979
06/1994,,,,,92988.4
09/1994,,,,,99809.7
12/1994,,,,,101442.5
03/1995,,,,,106543.2
06/1995,,,,,111668.1
09/1995,,,,,117120
12/1995,,,,,119182.8
03/1996,,,,,122529.5
06/1996,,,,,128845.5
09/1996,,,,,136939.8
12/1996,,,,,144253.2
03/1997,,,,,145800.9
06/1997,,,,,149405.7
09/1997,,,,,163236.7
12/1997,,,,,169252.1
03/1998,,,,,211575.1
06/1998,,,,,222808.9
09/1998,,,,,264263.5
12/1998,,,,,257106.4
03/1999,,,,,275226.5
06/1999,,,,,271595.5
09/1999,,,,,277558
12/1999,,,,,275351.6
03/2000,,,,,325958.6
06/2000,,,,,336967.1
09/2000,,,,,360701.6
12/2000,,,,,366142.6
03/2001,,,,,386648.8
06/2001,,,,,416069.9
09/2001,,,,,426828.3
12/2001,,,,,416775
03/2002,,,,,436975.1
06/2002,,,,,450640.4
09/2002,,,,,472136.1
12/2002,,,,,462081.8
03/2003,,,,,496247.8
06/2003,,,,,498023.8
09/2003,,,,,516103.7
12/2003,,,,,503299.3
03/2004,,,,,536605.3
06/2004,,,,7353633.95167001,564422.1
09/2004,,,,7599349.88607808,595320.6
12/2004,,,,8575563.93767123,599478.2
03/2005,,,,8893542.22458067,632330.5
04/2005,98.2,,99.1,,
05/2005,102.3,,103.1,,
06/2005,105,,104,8369898.88866877,670475.6
07/2005,103.8,,102.4,,
08/2005,106.1,,104.1,,
09/2005,107.1,,104.4,8553368.21338686,713000.1
10/2005,108.7,,107.3,,
11/2005,105.8,,104.6,,
12/2005,119.7,,116.8,9762260.04798332,758474.9
01/2006,121.1,,118.5,,
02/2006,115.3,,112.4,,
03/2006,130.2,,126.7,10248160.7727201,782752.9
04/2006,109.9,,108.8,,
05/2006,116.5,,114.8,,
06/2006,117.1,,114.2,9522592.83713768,812741.1
07/2006,121.8,,117.6,,
08/2006,118.9,,114.3,,
09/2006,123,,118.2,10041548.166481,870319.8
10/2006,119.9,,117.7,,
11/2006,130.9,,125.5,,
12/2006,138.2,,132.8,11393134.4705764,873403
01/2007,140,,134.9,,
02/2007,133.8,,127.8,,
03/2007,151.4,,144.9,11989773.7926896,920203.1
04/2007,133.6,,128.2,,
05/2007,143.7,,136.9,,
06/2007,145.6,,136.7,11264808.7717523,963862.5
07/2007,145.3,,136.6,,
08/2007,142.4,,134.6,,
09/2007,142.5,,134,11508037.5300931,1031408.7
10/2007,148.9,,140.7,,
11/2007,145.4,,137.9,,
12/2007,160.5,,150.7,13216483.8629923,1035418.9
01/2008,162.1,,152.5,,
02/2008,159.3,,149.3,,
03/2008,172.1,,161.9,13881565.5119161,1110032.30313712
04/2008,151,,142.3,,
05/2008,155.3,,146.7,,
06/2008,160.7,,148.4,13334641.0473199,1220605.89594989
07/2008,154.3,,144.3,,
08/2008,151.4,,141.9,,
09/2008,160.1,,148.6,13661837.1291756,1327509.5972278
10/2008,154.6,,146.2,,
11/2008,146.9,,139.7,,
12/2008,156.3,,148.3,14652842.7499353,1290540.60090126
01/2009,150.7,,144.4,,
02/2009,144.8,,138.5,,
03/2009,159.7,,153.5,14651300.0475059,1315272
04/2009,145.5,,139.6,,
05/2009,150.8,,144.3,,
06/2009,153.4,,145.7,14326466.3970841,1381407.381028
07/2009,155.3,,146.7,,
08/2009,157.9,,149.4,,
09/2009,161.1,,151,14976448.9238523,1458209.42596
10/2009,157,,149.6,,
11/2009,156.6,102.73,148.5,,
12/2009,172.3,104.15,162.4,17004874.5490685,1451314.5587695
01/2010,172.6,105.57,163.6,,
02/2010,166.9,107.64,157.5,,
03/2010,185.7,108.44,176.5,18470480.0002199,1505857
04/2010,166.6,108.59,157.8,,
05/2010,164.2,108.89,156.5,,
06/2010,165.5,109.13,156.6,17441752.5684075,1588847.7
07/2010,172.1,109.19,161.3,,
08/2010,165.2,109.44,156.1,,
09/2010,172.1,110.88,160.3,17869825.3336315,1670567.1
10/2010,176.4,112.04,166.6,,
11/2010,166.8,114.13,158,,
12/2010,187.3,116.39,175.6,20451568.8403123,1681580.1
01/2011,186.5,118.41,175.9,,
02/2011,179.4,120.89,168,,
03/2011,206.2,123.51,193.1,22078008.2955606,1749386.9
04/2011,176.1,127.61,166.2,,
05/2011,174.5,130.43,166.2,,
06/2011,184,131.85,171.4,20683570.2950282,1822473.3
07/2011,177.4,133.39,167.2,,
08/2011,171.7,134.63,161.4,,
09/2011,177.4,135.74,164.3,20851714.5540818,1929006.2
10/2011,165.9,136.23,158.3,,
11/2011,177.8,136.76,167.5,,
12/2011,192.6,137.48,180.3,23559531.3811146,1918320.7
01/2012,188.6,138.86,177.6,,
02/2012,186.8,140.76,175.2,,
03/2012,198.7,140.98,187.6,25002392.6855949,1972890.8
04/2012,173,141.06,164.1,,
05/2012,179,141.31,170.3,,
06/2012,178.1,140.94,168,23087326.5904547,2047705.9
07/2012,177.4,140.53,167.1,,
08/2012,175.8,141.42,164.7,,
09/2012,174.6,144.53,163.1,23412921.0869546,2116302.1
10/2012,182.4,145.76,171.6,,
11/2012,176.4,146.44,165.8,,
12/2012,191.1,146.84,179.3,26579342.878705,2094027.1
01/2013,193.6,148.67,182,,
02/2013,190.8,150.64,176.2,,
03/2013,207.3,150.35,194.2,28053216.293215,2143260.1
04/2013,176.1,150.38,166.5,,
05/2013,173.3,150.29,166,,
06/2013,175,150.37,164.9,25469354.2496741,2212148.1
07/2013,182.7,150.77,171.4,,
08/2013,175.4,152.02,165.4,,
09/2013,177.1,153.63,167.5,26586222.2882003,2359100.3
10/2013,180.1,154.39,169.6,,
11/2013,171.8,154.91,163.6,,
12/2013,189,155.7,179.5,30026825.2911792,2372768
01/2014,194.1,156.78,184,,
02/2014,183.3,157.64,172.7,,
03/2014,204.7,156.94510563,193.3,31468333.0317425,2387055.8
04/2014,181.4,157.07066172,172.7,,
05/2014,183.5,157.38480304,175.3,,
06/2014,180.1,157.85695745,172,28425963.1050041,2478081.7
07/2014,182.2,158.22002845,173,,
08/2014,173.4,158.56811251,166.2,,
09/2014,181.9,159.20238496,171.8,29275896.5543528,2622612.6
10/2014,170,159.37750759,165.1,,
11/2014,179.9,158.94718832,172.1,,
12/2014,196.8,158.56571507,185.9,,2607178.8
01/2015,200.7,158.24858364,189.2,,
02/2015,192.7,158.16945934,181,,
03/2015,210.3,158.41,198.1,,
04/2015,188.5,158.62848293,177.9,,
05/2015,187.3,158.88,179.7,,
06/2015,189.5,159.43837651,179.3,,
07/2015,190.9,159.6456464,180.5,,
08/2015,184.8,159.53389445,176.6,,
09/2015,186.9,159.2,178.2,,
10/2015,188.1,159.37,181.4,,
11/2015,171.7,159.48587258,166.3,,
12/2015,193.1,159.51,184.2,,
01/2016,194.8,,186.2,,
02/2016,193.9,,184.5,,
03/2016,208.1,,198.7,,
04/2016,181.7,,175.5,,
05/2016,188.7,,182,,
06/2016,191.4,,183.2,,
07/2016,184.2,,175.9,,
08/2016,184.3,,175.3,,
09/2016,188.7,,179.5,,
10/2016,183.5,,178,,
11/2016,180.9,,175.6,,
12/2016,189.9,,184,,
01/2017,200.5,,192.3,,
02/2017,190.1,,182.3,,