,AG: BoP: Financial Account: Other Investment: Loans,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable,"AG: BoP: Financial Account: Other Investment: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances,AG: BoP: Financial Account: Official Reserve Assets: SDRs,AG: BoP: Financial Account: Official Reserve Assets,AG: BoP: Financial Account: Other Investment: Trade Credit & Advances,AG: BoP: Financial Account: Other Investment: Currency & Deposits,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: SDRs,AG: BoP: Financial Account: Official Reserve Assets: Others: Financial Derivatives,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Other Entities,AG: BoP: Financial Account: Other Investment: Other Equity,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Long Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Gold Bullion,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Monetary Authorities,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Financial Corporations",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank,"AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Long Term,AG: BoP: Financial Account: Official Reserve Assets: Reserve Position in the IMF,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Short Term,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Goods for Processing: Processing Abroad,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Claims of Pension Funds","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Pension Entitlements","AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Entitlements to Nonpension Benefits",AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Unallocated Gold Accounts,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Life Insurance & Annuity Entitlements",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Long Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Provision for Calls under Standardized Guarantees",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Central Bank","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term",AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Deposit Taking Corporations excl Central Bank",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Long Term,AG: (DC)BoP: Exceptional Financing,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations,AG: BoP: Current Account: Goods & Services: Credit,AG: BoP: Current Account: Goods & Services: Debit,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Other Accounts Receivable/Payable,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors,AG: BoP: Net Errors & Omissions,AG: BoP: Financial Account: Official Reserve Assets: Others: Other Claims,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors,AG: BoP: Financial Account: Official Reserve Assets: Others,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Short Term,AG: BoP: Current Account: Goods & Services,"AG: BoP: Current Account: Goods, Services & Primary Income","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Credit & Loans from the IMF,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Equity,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: General Government",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Nonlife Insurance Technical Reserves",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Long Term
Region,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,335411101,335410901,335410701,335412001,396081537,387637927,396273447,396280917,335414101,335413801,387645427,369223737,369223757,369223777,369223837,409776567,409872217,409914787,409861447,409821527,409811627,409848037,409849627,409893807,396177457,396166157,396149127,396152357,396208347,396240107,396249727,396260837,396196447,335412201,396111297,396110307,396104677,396067087,387846657,396263757,396127717,387295407,387561767,387561967,369223857,409807447,409804377,409796047,409794527,409870357,409886007,409888177,409899327,409899547,409920947,409922897,409908377,409905347,409914707,409839797,409837607,409838607,409847397,409813987,409828807,409823747,409811847,409766587,369224007,409784987,387788747,396208677,335403001,335403201,396253807,335412601,335412401,335415101,335414901,335414701,387567847,387534707,396066387,335414501,387363377,387382367,335402801,335402701,396218547,396243137,409856167,409814157,409864287,409842127,409843657,409817277,396140477,396139187,387806667,409765467
