,AG: BoP: Financial Account: Other Investment: Currency & Deposits,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Other Entities,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities,AG: BoP: Financial Account: Other Investment: Liabilities: SDRs,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Unallocated Gold Accounts,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold: Gold Bullion,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Long Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Financial Derivatives,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Debt Securities: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: General Government","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Central Bank",AG: BoP: Financial Account: Official Reserve Assets: Others: Securities,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Central Bank,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Pension Entitlements",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Central Bank: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations,AG: BoP: Financial Account: Other Investment: Other Equity,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: General Government,AG: BoP: Financial Account: Official Reserve Assets: Reserve Position in the IMF,AG: BoP: Financial Account: Official Reserve Assets: Monetary Gold,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Short Term,AG: BoP: Financial Account: Other Investment: Trade Credit & Advances,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors,"AG: BoP: Financial Account: Other Investment: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations: Short Term,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits: Claims on Monetary Authorities,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government,AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Long Term,AG: BoP: Financial Account: Other Investment: Loans,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors,AG: BoP: Financial Account: Other Investment: Other Accounts Receivable/Payable,AG: BoP: Financial Account: Official Reserve Assets,AG: BoP: Financial Account: Official Reserve Assets: SDRs,AG: BoP: Financial Account: Official Reserve Assets: Others,AG: BoP: Financial Account: Official Reserve Assets: Others: Currency & Deposits,AG: BoP: Financial Account: Official Reserve Assets: Others: Other Claims,AG: BoP: Net Errors & Omissions,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances,AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Financial Corporations,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: General Government,AG: BoP: Current Account: Goods & Services: Debit,AG: BoP: Current Account: Goods & Services: Credit,AG: BoP: Financial Account: Official Reserve Assets: Others: Securities: Equity,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Entitlements to Nonpension Benefits","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Life Insurance & Annuity Entitlements",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Short Term,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Provision for Calls under Standardized Guarantees",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Financial Corporations: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Claims of Pension Funds","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Deposit Taking Corporations excl Central Bank",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Deposit Taking Corporations excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term","AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Long Term",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Financial Corporations","AG: BoP: Financial Account: Other Investment: Liabilities: Loans: Other Sectors: Non Financial Corporations, Households & NPISHs: Short Term",AG: BoP: Financial Account: Other Investment: Liabilities: Loans: General Government: Credit & Loans from the IMF,AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank,"AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Other Accounts Payable: Deposit Taking Corporation excl Central Bank: Long Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Other Sectors: Non Financial Corporations, Households & NPISHs","AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Other Sectors: Non Financial Corporations, Households & NPISHs",AG: BoP: Financial Account: Other Investment: Liabilities: Trade Credit & Advances: Deposit Taking Corporations excl Central Bank: Short Term,"AG: BoP: Financial Account: Other Investment: Liabilities: Insurance, Pension & Standardized Guarantee Schemes: Nonlife Insurance Technical Reserves",AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Goods for Processing: Processing Abroad,"AG: BoP: Current Account: Goods, Services & Primary Income",AG: BoP: Current Account: Goods & Services,AG: (DC)BoP: Exceptional Financing
Region,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued
Series ID,369223737,369223757,369223777,369223837,369223857,387806667,409849627,409856167,409861447,409864287,409872217,409888177,409893807,409905347,409908377,409914707,409914787,409920947,409922897,409828807,409838607,409842127,409843657,409847397,409848037,409765467,409766587,409776567,409796047,409811627,409811847,409817277,409821527,387295407,387363377,387534707,387561967,387567847,387637927,387645427,387382367,387788747,396066387,396081537,396140477,396177457,396208347,396249727,396260837,335410701,335410901,335411101,335412001,335412201,335412401,335412601,335413801,335414101,335414501,335414701,335414901,335415101,396152357,396280917,396208677,396253807,396273447,335403201,335403001,409814157,409870357,409886007,409899327,409899547,409837607,409839797,409784987,409794527,409804377,409813987,409823747,387561767,396067087,396110307,396111297,396127717,396196447,396240107,396243137,396263757,396149127,387846657,396166157,396218547,396104677,396139187,409807447,335402701,335402801,369224007
