No. of Obs,18,18,18,18,18,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,18,18,41,18,18,24,18,18,4,4,4,4,4,4,4,38,38,38,38,38,38,38,41,41,41,25,25,41,4,4,4,4,4,41,41,4,4,4,4,4,4,4,4,4,4,4,4,18,4,4,4,4,4,4,4,4,4,18,4,4,4,4,4,41,41,15
1977,6.03703704,1.7962963,1.7962963,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,4.84814815,4.84814815,-6.64444444,0,0,0,0,-4.46296296,0,-4.46296296,,,2.32962963,,,,,,43.5,31.3,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-12.4,-12.2,0
1978,-2.12962963,0.25925926,0.25925926,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,10.13703704,10.13703704,-10.3962963,0,0,0,0,0.77037037,0,0.77037037,,,-2.65555556,,,,,,49.1,42.1,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-7.4,-7,0
1979,-1.42962963,0.16666667,0.16666667,0.4,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,8.76666667,8.76666667,-8.93333333,0.4,0,0,-0.4,5.35925926,0,5.35925926,,,5.5962963,,,,,,78,50.2,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-29.6,-27.8,0.4
1980,1.27777778,0.1962963,0.1962963,0.6,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,3.77037037,3.77037037,-3.96666667,0.6,0,0,-0.6,-3.21481481,0,-3.21481481,,,-7.3037037,,,,,,131.8,104.1,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-28.9,-27.7,0.6
1981,-0.23703704,8.50740741,8.50740741,1.5,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,22.3037037,22.3037037,-30.81111111,1.5,0,0,15,-0.38148148,0,-0.38148148,,,-6.12962963,,,,,,145,103.9,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-43.1,-41.1,1.5
1982,-5.00740741,1,1,4.4,4.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,6.4,6.4,-7.4,4.4,0,0,-4.4,1.2,0,1.2,,,2.99259259,,,,,,148.3,101,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-51,-47.3,4.4
1983,2.7,2.2,2.2,7.5,7.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,-8.29888889,-8.29888889,6.09888889,7.5,0,0,-7.5,1.4,0,1.4,,,6.79888889,,,,,,118,99.3,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-19.7,-18.7,7.5
1984,0.5,0,0,7.5,7.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,-4.8,-4.8,4.8,7.5,0,0,-7.5,7.1,0,7.1,,,-0.1,,,,,,180.8,167.3,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-13.9,-13.5,7.5
1985,-9.4,0,0,6.2,6.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,-4.8,-4.8,4.8,6.2,0,0,-6.2,3.3,0,3.3,,,0,,,,,,213.2,178.6,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-37.3,-34.6,6.2
1986,-10.63703704,27.74074074,27.74074074,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,61.63703704,61.63703704,-89.37777778,0,0,0,0,10.14444444,0,10.14444444,,,2.61481481,,,,,,293.53703704,205.89259259,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-123.67777778,-87.64444444,0
1987,7.57037037,-2.52592593,-2.52592593,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,64.23333333,64.23333333,-61.70740741,0,0,0,0,-2.48518519,0,-2.48518519,,,13.76666667,,,,,,303.14444444,226.98518519,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-116.11851852,-76.15925926,0
1988,3.63333333,-3.72222222,-3.72222222,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,20.23333333,20.23333333,-16.51111111,0,0,0,0,2.62222222,0,2.62222222,,,-0.57037037,,,,,,283.8,265.52592593,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-49.9,-18.27407407,0
1989,-8.68518519,-3.01851852,-3.01851852,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,28.02962963,28.02962963,-25.01111111,0,0,0,0,0.04074074,0,0.04074074,,,1.44814815,,,,,,338.91111111,290.93703704,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-93.45555556,-47.97407407,0
1990,2.14814815,-7.15185185,-7.15185185,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,9.26666667,9.26666667,-2.11481481,0,0,0,0,-0.59259259,0,-0.59259259,,,-32.25555556,,,,,,340.55925926,345.3,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,-40.58518519,4.74074074,0
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5.25925926,0,5.25925926,,,27.51481481,,,,,,369.88888889,369.86296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.22592593,-0.02592593,0
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,17.98148148,0,17.98148148,,,16.41851852,,,,,,386.45555556,407.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.75185185,20.91481481,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,-11.85185185,0,-11.85185185,0,-11.85185185,0.7037037,,,,,,398.5,439.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.72962963,40.66666667,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-26.39259259,-26.39259259,40.26296296,2.66666667,0,2.66666667,3.02222222,8.07407407,0,8.07407407,0,8.07407407,31.72222222,,,,,,421.92592593,436.45925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.02592593,14.53333333,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-8.65925926,-8.65925926,23.05185185,12.25925926,0,12.25925926,18.91851852,13.58888889,0,13.58888889,0,13.58888889,21.03333333,,,,,,438.92592593,401.60740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.17777778,-37.31851852,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-7.1037037,-7.1037037,7.1037037,53.35555556,35.61851852,17.73703704,-44.32592593,-11.25925926,0,-11.25925926,0.44444444,-11.7037037,-7.82222222,,,,,,467.36666667,402.52222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.06296296,-64.84444444,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,0.68888889,0.68888889,-0.68888889,48.77777778,38.27037037,10.50740741,-26.9,2.95555556,0,2.95555556,0,2.95555556,-2.96666667,,,,,,478.28888889,443.28888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.15555556,-35,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,29.92222222,29.92222222,-29.92222222,56.48148148,0,56.48148148,109.12962963,8.88518519,0,8.88518519,0.21111111,8.67407407,-40.51481481,,,,,,489.92222222,465.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.05925926,-24.02222222,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,11.10111111,11.10111111,-11.10111111,89.52857778,0,89.52857778,13.4829037,10.38677778,0,10.38677778,0.02418519,10.36259259,4.53897519,,,,,,529.32243333,472.83210852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.93551,-56.49032481,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,1.35259259,1.35259259,-1.35259259,65.79074074,40.3,25.49074074,4.74555556,-6.16196296,0,-6.16196296,0.01211111,-6.17407407,-17.44676148,,,,,,498.46155556,466.86190963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.11853481,-31.59964593,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,10.32111111,10.32111111,-10.32111111,19.74074074,0,19.74074074,46.11777778,15.99703704,0,15.99703704,-0.17074074,16.16777778,4.1437037,,,,,,486.57296296,445.33407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.02703704,-41.23888889,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-6.47222222,-6.47222222,6.47222222,56.41421667,4.65555556,51.75866111,-44.32088333,7.72777778,0,7.72777778,-0.1962963,7.92407407,-21.99804222,,,,,,474.43962963,427.86530222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.02104667,-46.57432741,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-10.75662963,-10.75662963,10.75662963,61.82326667,0,61.82326667,58.18523704,26.14407407,0,26.14407407,0.03333333,26.11074074,16.82741704,,,,,,534.75116852,462.6379437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.80950481,-72.11322481,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-23.44777778,-23.44777778,23.44777778,68.37037778,16.04740741,52.32297037,-30.43663704,6.42039926,0,6.42039926,0.04958519,6.37081407,-15.9025937,,,,,,592.33841222,533.97311111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.45062,-58.36530111,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-163.46368111,-163.46368111,163.46368111,50.62394815,0,50.62394815,92.55914815,7.2357963,0,7.2357963,0.05289926,7.18289704,-7.36274185,,,,,,682.72051185,545.26938519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179.49136593,-137.45112667,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-25.54294074,-25.54294074,25.54294074,77.94510333,0,77.94510333,71.81937963,15.36136296,0,15.36136296,0.05062222,15.31074074,-6.98733148,,,,,,818.41317593,548.16982556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-316.98667741,-270.24335037,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,-6.78143481,-6.78143481,6.78143481,134.29838852,15.41592593,118.88246259,-52.28703296,0.36809963,0,0.36809963,-0.84674481,1.21484444,-4.00399185,,,,,,932.37214296,581.28932407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-403.75023852,-351.08281889,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,1.79237704,1.79237704,-1.79237704,240.55027,119.03148148,121.51878852,-160.46043741,-5.82609296,0,-5.82609296,0,-5.82609296,10.39966407,,,,,,952.20790222,625.36867741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-387.92328,-326.83922481,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,38.71442963,38.71442963,-38.71442963,118.09875889,33.5362963,84.56246259,-47.38312111,-10.06005926,19.59518519,-29.65524444,0,-29.65524444,-1.18222407,,,,,,706.47711296,561.62350222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-195.67390407,-144.85361074,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,117.61610986,117.61610986,-117.61610986,52.90561296,13.7,39.20561296,68.75588481,10.30801704,-18.93434444,29.24236148,3.15794815,26.08441333,22.84481088,,,,,,678.92989074,523.83388667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186.58541704,-155.09600407,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,19.02639097,19.02639097,-19.02639097,66.91963778,35.11111111,31.80852667,-38.48049222,10.50048667,0,10.50048667,0.13025556,10.37023111,-13.0863606,,,,,,641.64401148,537.75573889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-143.35927148,-103.88827259,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,1.18573164,1.18573164,-1.18573164,59.96487444,0,59.96487444,-6.78231,11.1887637,0,11.1887637,-3.28824074,14.47700444,31.53239614,,,,,,687.62735704,541.54968667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-197.16754185,-146.07767037,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,67.53304972,67.53304972,-67.53304972,77.52328815,3.24888889,74.27439926,6.23085074,42.43478185,0,42.43478185,1.19877185,41.23601,34.07024954,,,,,,713.89942185,529.1833963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234.84753444,-184.71602556,
2014,28.86839125,-11.45608089,-8.91366756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17433165,0,0,0,-2.54241333,-36.60978504,0,0,-13.9496926,2.54892042,25.1040141,-13.9496926,-11.45608089,-0.01193852,94.35199392,-1.11170263,16.86360967,11.62984241,-1.45692424,1.71740741,-3.17433165,0.84703072,94.47100932,0.1190154,94.35199392,94.35199392,0,34.69316688,-4.17355991,11.1543215,-0.01193852,-4.17355991,25.1040141,925.83418324,1027.28391197,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.9496926,-3.16239313,-8.91366756,1.71740741,-4.31986574,-2.54241333,-17.9753123,0,-3.16239313,0,-13.9496926,0.14630584,0,-4.17355991,0,37.68184398,101.44972874,
2015,135.63149645,-5.33193454,-5.33193454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81665426,0,0,0,0,-17.85812792,0,0,2.80006444,-0.72984639,6.85370123,2.80006444,-5.33193454,0,58.66403866,14.43600626,33.2631,-20.52796594,2.72665426,-2.09,4.81665426,-0.38962864,58.69551691,0.03147824,58.66403866,58.66403866,0,-7.63526294,2.21407709,9.68821011,0,2.21407709,6.85370123,842.87258545,1015.52821383,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80006444,4.81665426,-5.33193454,-2.09,2.62571589,0,-18.82709374,0.03444444,4.81665426,0,2.80006444,-0.41163881,0.03444444,2.21407709,0,99.84686201,172.65562838,
2016,6.34632194,-0.91181804,-0.91181804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05808724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86914865,0,0,0,0,-14.32106966,0,0,2.85911753,2.69355618,4.91756438,2.85911753,-0.91181804,0,-25.70431481,-38.61823207,-15.70663826,38.3435633,6.81803754,-0.05111111,6.86914865,-10.6347565,-25.63476994,0.06954488,-25.70431481,-25.70431481,0,-43.95299192,-1.87310806,7.80032471,0,-1.87310806,4.97565162,911.64278243,1036.63768712,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85911753,6.86914865,-0.91181804,-0.05111111,-2.18501128,0,-22.91159381,-0.03444444,6.86914865,0,2.85911753,0.31190323,-0.03444444,-1.87310806,0,16.42273643,124.99490469,
2017,160.98701393,-0.95300686,-0.95300686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17944318,0,0.00407227,0,0,-13.46148768,0,0,2.98827015,2.82537686,3.64969691,2.98827015,-0.95300686,0,-16.28549795,-36.22090793,-12.85545481,37.2211507,6.49685059,-0.68259259,7.17944318,0.85993441,-16.46430675,-0.18288108,-16.28549795,-16.28549795,0,28.90079143,-1.9647766,6.64618635,0,-1.9647766,3.6579162,990.8177285,1138.88040966,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98827015,7.17944318,-0.95300686,-0.68259259,-2.29194414,0,-23.36545311,0,7.17944318,0,2.98827015,0.32716754,0,-1.9647766,0,80.17987453,148.06268116,